iter	Accuracy	Logloss
0	0.7721306088	0.6721499983
1	0.7808253523	0.6450685753
2	0.8118734184	0.6161626389
3	0.8048242757	0.5941476597
4	0.8131092091	0.5729027785
5	0.8159848753	0.5570687073
6	0.8141641873	0.539404035
7	0.8137440406	0.5283897318
8	0.8154338503	0.5144169935
9	0.8185666615	0.4999138816
10	0.8223710392	0.4886006949
11	0.8249132279	0.4806048589
12	0.828192979	0.4692547569
13	0.8327791282	0.460717503
14	0.8275713467	0.4520530248
15	0.8363998309	0.4457507726
16	0.8372315366	0.4380019625
17	0.8452679127	0.4263696227
18	0.8459394792	0.4221663618
19	0.8492898378	0.4169912957
20	0.8526034614	0.4109958566
21	0.8533748963	0.4042478212
22	0.858448937	0.397688391
23	0.8598919384	0.3922491531
24	0.8630850204	0.3847070705
25	0.8656036733	0.3791111584
26	0.8709480582	0.3722549254
27	0.8725511987	0.3684427301
28	0.8739706643	0.3628491588
29	0.8740573335	0.3586577188
30	0.8758441491	0.3544022754
31	0.8788168211	0.3499072483
32	0.8793546468	0.347847776
33	0.8808843174	0.3431482383
34	0.881862963	0.3405236735
35	0.882046638	0.3366843505
36	0.8835395736	0.3336390072
37	0.8834661036	0.3305733307
38	0.8857040757	0.3277448248
39	0.8865357814	0.3241522728
40	0.8868663964	0.3199429467
41	0.8876010963	0.3170105455
42	0.8907207082	0.3133828161
43	0.8899257375	0.3109962367
44	0.8909043832	0.3079094614
45	0.893937326	0.3057157627
46	0.8951731166	0.3022167197
47	0.8959680873	0.3010712484
48	0.896983468	0.2973147591
49	0.8986101444	0.2948263772
50	0.9002735557	0.2925683304
51	0.9010317914	0.2905600471
52	0.9008481165	0.2892100712
53	0.9031727578	0.2876137987
54	0.9021103055	0.2843890101
55	0.9021837755	0.2832747281
56	0.9036767111	0.2818179532
57	0.9037134461	0.2803710369
58	0.9052666524	0.2783811823
59	0.9062820331	0.2755712827
60	0.9069300638	0.2732322404
61	0.9097557958	0.2709476756
62	0.9099394708	0.2675826704
63	0.9113589364	0.2656939823
64	0.9132794928	0.2640283124
65	0.9134999027	0.262747704
66	0.9149061691	0.2610710165
67	0.9158848148	0.2598798156
68	0.9163991047	0.2571402761
69	0.9171940754	0.2562482459
70	0.9180992511	0.2551826928
71	0.9183196611	0.2538203926
72	0.918944156	0.2512743397
73	0.9192380359	0.2500613837
74	0.9207309715	0.2475052415
75	0.9217096172	0.246615727
76	0.9226882629	0.2456168017
77	0.9229086728	0.2443870879
