iter	Passed	Remaining
0	132	53008
1	152	30390
2	169	22442
3	187	18588
4	202	16034
5	217	14264
6	231	13013
7	244	12004
8	259	11270
9	273	10650
10	287	10154
11	300	9707
12	315	9396
13	328	9059
14	343	8808
15	356	8559
16	369	8315
17	383	8128
18	395	7929
19	408	7758
20	420	7587
21	433	7442
22	445	7297
23	457	7169
24	471	7070
25	484	6971
26	498	6882
27	511	6798
28	525	6717
29	539	6651
30	552	6579
31	565	6499
32	577	6424
33	590	6360
34	603	6290
35	616	6237
36	630	6187
37	642	6124
38	657	6090
39	670	6034
40	684	5991
41	697	5945
42	711	5905
43	724	5864
44	739	5835
45	754	5806
46	768	5771
47	781	5731
48	795	5698
49	809	5664
50	822	5629
51	835	5593
52	849	5558
53	861	5523
54	876	5500
55	891	5475
56	904	5445
57	918	5418
58	934	5401
59	948	5376
60	961	5345
61	976	5323
62	990	5299
63	1003	5270
64	1018	5248
65	1031	5221
66	1045	5195
67	1058	5166
68	1071	5138
69	1084	5111
70	1097	5085
71	1109	5054
72	1123	5031
73	1136	5006
74	1149	4982
75	1161	4951
76	1173	4924
77	1186	4899
78	1200	4879
79	1214	4858
80	1227	4835
81	1240	4811
82	1253	4786
83	1266	4765
84	1280	4746
85	1294	4725
86	1301	4682
87	1315	4663
88	1329	4644
89	1341	4621
90	1354	4598
91	1367	4577
92	1380	4555
93	1393	4535
94	1406	4515
95	1419	4495
96	1432	4474
97	1445	4454
98	1457	4430
99	1470	4411
100	1484	4393
101	1496	4372
102	1509	4352
103	1522	4332
104	1535	4313
105	1548	4294
106	1561	4275
107	1574	4256
108	1587	4239
109	1601	4221
110	1613	4202
111	1626	4183
112	1638	4161
113	1652	4145
114	1665	4126
115	1678	4109
116	1692	4093
117	1705	4075
118	1719	4061
119	1733	4045
120	1747	4029
121	1761	4013
122	1773	3995
123	1787	3978
124	1799	3959
125	1813	3944
126	1826	3926
127	1839	3909
128	1852	3891
129	1866	3875
130	1878	3857
131	1891	3840
132	1904	3823
133	1917	3806
134	1930	3790
135	1943	3772
136	1956	3755
137	1969	3738
138	1983	3723
139	1995	3705
140	2009	3691
141	2022	3674
142	2035	3658
143	2049	3643
144	2061	3626
145	2075	3610
146	2087	3593
147	2100	3576
148	2113	3561
149	2127	3545
150	2140	3529
151	2153	3513
152	2167	3498
153	2180	3482
154	2193	3466
155	2205	3449
156	2218	3434
157	2231	3418
158	2244	3401
159	2257	3385
160	2270	3370
161	2283	3354
162	2296	3338
163	2309	3323
164	2323	3309
165	2336	3294
166	2349	3278
167	2362	3262
168	2375	3246
169	2388	3231
170	2401	3216
171	2415	3202
172	2428	3186
173	2442	3172
174	2455	3156
175	2468	3141
176	2481	3126
177	2493	3110
178	2506	3094
179	2519	3079
180	2532	3064
181	2546	3050
182	2559	3035
183	2573	3020
184	2586	3005
185	2598	2989
186	2612	2976
187	2626	2961
188	2639	2947
189	2652	2931
190	2666	2918
191	2679	2902
192	2692	2887
193	2706	2874
194	2722	2861
195	2735	2847
196	2749	2832
197	2763	2819
198	2775	2803
199	2789	2789
200	2801	2773
201	2813	2758
202	2826	2742
203	2838	2727
204	2851	2712
205	2865	2698
206	2877	2683
207	2890	2667
208	2903	2653
209	2916	2638
210	2930	2624
211	2944	2610
212	2957	2596
213	2970	2581
214	2983	2567
215	2996	2552
216	3010	2538
217	3023	2524
218	3036	2509
219	3049	2494
220	3063	2481
221	3076	2466
222	3088	2451
223	3102	2437
224	3115	2423
225	3129	2409
226	3142	2394
227	3156	2380
228	3169	2366
229	3182	2352
230	3195	2337
231	3208	2323
232	3220	2308
233	3233	2294
234	3247	2279
235	3261	2266
236	3274	2252
237	3287	2237
238	3303	2225
239	3316	2211
240	3329	2196
241	3341	2181
242	3355	2167
243	3368	2153
244	3382	2140
245	3395	2125
246	3408	2111
247	3421	2097
248	3434	2082
249	3447	2068
250	3460	2054
251	3473	2039
252	3485	2025
253	3498	2011
254	3512	1997
255	3525	1982
256	3538	1968
257	3551	1954
258	3563	1939
259	3576	1925
260	3589	1911
261	3602	1897
262	3614	1883
263	3627	1868
264	3641	1855
265	3655	1841
266	3669	1827
267	3682	1813
268	3695	1799
269	3709	1785
270	3722	1772
271	3735	1757
272	3747	1743
273	3761	1729
274	3774	1715
275	3787	1701
276	3800	1687
277	3813	1673
278	3826	1659
279	3838	1645
280	3851	1631
281	3864	1616
282	3876	1602
283	3890	1589
284	3903	1575
285	3916	1561
286	3929	1547
287	3942	1533
288	3956	1519
289	3969	1505
290	3983	1492
291	3996	1477
292	4008	1463
293	4022	1450
294	4035	1436
295	4047	1422
296	4060	1408
297	4072	1394
298	4085	1380
299	4098	1366
300	4112	1352
301	4124	1338
302	4138	1324
303	4151	1310
304	4164	1297
305	4177	1283
306	4190	1269
307	4202	1255
308	4216	1241
309	4228	1227
310	4241	1213
311	4254	1199
312	4268	1186
313	4281	1172
314	4294	1158
315	4309	1145
316	4322	1131
317	4334	1117
318	4347	1103
319	4361	1090
320	4373	1076
321	4386	1062
322	4399	1048
323	4412	1035
324	4425	1021
325	4438	1007
326	4451	993
327	4463	979
328	4475	965
329	4487	951
330	4500	938
331	4513	924
332	4526	910
333	4540	897
334	4553	883
335	4565	869
336	4578	855
337	4591	842
338	4604	828
339	4617	814
340	4630	801
341	4643	787
342	4656	773
343	4670	760
344	4683	746
345	4696	732
346	4709	719
347	4722	705
348	4734	691
349	4747	678
350	4760	664
351	4772	650
352	4786	637
353	4799	623
354	4812	610
355	4824	596
356	4836	582
357	4850	569
358	4863	555
359	4876	541
360	4889	528
361	4902	514
362	4915	501
363	4928	487
364	4941	473
365	4954	460
366	4966	446
367	4979	432
368	4992	419
369	5005	405
370	5019	392
371	5031	378
372	5044	365
373	5057	351
374	5070	338
375	5082	324
376	5094	310
377	5108	297
378	5121	283
379	5133	270
380	5146	256
381	5160	243
382	5173	229
383	5186	216
384	5200	202
385	5212	189
386	5225	175
387	5244	162
388	5260	148
389	5276	135
390	5292	121
391	5304	108
392	5318	94
393	5331	81
394	5344	67
395	5356	54
396	5369	40
397	5382	27
398	5395	13
399	5408	0
